R_Peak_22,R_Trough_22,R_Peak_24,R_Trough_24,R_Peak_25,R_Trough_25,R_Peak_26,R_Trough_26,R_Peak_27,R_Trough_27,R_Peak_28,R_Trough_28,R_Peak_29,R_Trough_29,R_Peak_30,R_Trough_30,R_Peak_31,R_Trough_31,R_Peak_32,R_Trough_32,R_Peak_33,R_Trough_33,D_Peak_33,D_Trough_33,D_Peak_34,D_Trough_34,D_Peak_35,D_Trough_35,D_Peak_36,D_Trough_36,D_Peak_37,D_Trough_37,D_Peak_38,D_Trough_38,D_Peak_39,D_Trough_39,D_Peak_41,D_Trough_41,D_Peak_42,D_Trough_42,D_Peak_43,D_Trough_43,D_Peak_44,D_Trough_44,D_Peak_45,D_Trough_45,D_Peak_46,D_Trough_46,D_Peak_47,D_Trough_47,D_Peak_48,D_Trough_48,D_Peak_49,D_Trough_49,Fre_22,Fre_24,Fre_25,Fre_26,Fre_27,Fre_28,Fre_29,Fre_30,Fre_31,Fre_32,Fre_33,Fre_34,Fre_35,Fre_36,Fre_37,Fre_38,Fre_39,Fre_41,Fre_42,Fre_43,Fre_44,Fre_45,Fre_46,Fre_47,Fre_48,Fre_49
0.471990214,-0.381869429,0.615266183,-0.381824754,0.6720246,-0.445812683,0.702570641,-0.492225967,0.73291373,-0.525928373,0.795945443,-0.624827905,0.87794582,-0.725631349,0.940459228,-0.769328582,1.012727262,-0.932905953,1.033956698,-1.020712332,0.984359523,-1,1,0.520078903,0.927569459,0.450438122,0.841260139,0.399116705,0.783073375,0.37425205,0.782333008,0.37916852,0.869142128,0.430118198,0.912666712,0.451156098,0.918604687,0.474918757,0.80097181,0.480786544,0.835052043,0.422157628,0.761566427,0.383864643,0.733087166,0.34360146,0.668831256,0.390315639,0.668174362,0.362811772,0.609838281,0.334923335,0.600222318,0.337495567,0.737249997,0.682564586,0.690311356,0.645450971,0.70348309,0.798928694,0.785702074,0.869946687,0.949601449,1,0.989270863,1,0.87524341,0.815146145,0.774859623,0.89627004,0.955687158,0.976175732,0.986518011,0.839511321,0.840002677,0.811735596,0.709601568,0.763772466,0.715639522,0.701713734
0.421295546,-0.379969539,0.5926316,-0.403351015,0.638400115,-0.422233449,0.64246401,-0.496161662,0.674098938,-0.549702205,0.760020092,-0.601456582,0.858421204,-0.725973264,0.953396861,-0.806092498,1.019048193,-0.898438507,1.007910976,-0.9897642,0.97067381,-1,1,0.541594551,0.936783528,0.471811738,0.855193405,0.424679226,0.792287035,0.393885007,0.792577861,0.392574375,0.886278947,0.439503081,0.956713356,0.457014812,0.951759103,0.488014218,0.8372319,0.502543916,0.859003061,0.440538335,0.7889088,0.396806026,0.750194309,0.35937694,0.695327333,0.405306674,0.696238362,0.375906317,0.625144634,0.345314414,0.607274401,0.342800828,0.691097513,0.802697616,0.763166454,0.633558039,0.718823024,0.78476967,0.768227114,0.846764936,0.924353942,1,0.948348124,0.918006315,0.85019298,0.793225059,0.820130827,0.941965969,1,0.92475035,0.861357645,0.785203543,0.770742049,0.786585657,0.670437234,0.68982382,0.630480935,0.629647814
0.469761353,-0.32929878,0.670941991,-0.42246658,0.669003077,-0.385741932,0.676824605,-0.431034528,0.718334116,-0.515383627,0.884574853,-0.61762441,0.96947536,-0.731163466,1.079418053,-0.785278294,1.113875645,-0.815619745,1.10202458,-0.979518645,1,-0.945371538,0.953652445,0.604808191,0.914368846,0.477569806,0.841919524,0.418974588,0.793662156,0.394819603,0.830819653,0.390120246,0.880063562,0.440737294,1,0.47278318,0.977170519,0.517466131,0.884136997,0.533139697,0.864353213,0.464922303,0.836688872,0.414927131,0.755856942,0.371355234,0.737202097,0.423779652,0.71945011,0.392663982,0.634314939,0.355855563,0.628699988,0.352559921,0.739386966,0.819075852,0.831589363,0.587091935,0.783971971,0.822222786,0.772165875,0.848615993,0.898530883,1,1,0.97270623,0.838650998,0.764835425,0.772553201,0.82610242,0.935641937,0.897556953,0.889592209,0.845772857,0.843303672,0.907105755,0.776605669,0.84323624,0.740979546,0.724719343
0.506509446,-0.365486393,0.651506691,-0.412174456,0.610391546,-0.389765234,0.5965259,-0.426106537,0.657750112,-0.468046387,0.770007984,-0.597022298,0.82507282,-0.664411899,0.935757738,-0.71714995,0.997112386,-0.746690869,0.988811926,-0.860152439,1,-0.820132892,0.985969824,0.605751224,0.957204401,0.480174053,0.869556414,0.443690122,0.823864805,0.406534734,0.846674045,0.41370168,0.88609075,0.445611358,1,0.464316926,0.964852131,0.530535851,0.896192221,0.535116657,0.866183121,0.479694519,0.85140866,0.421119573,0.79258822,0.38055733,0.747527553,0.428832128,0.716214603,0.391983208,0.653481864,0.360489039,0.64454609,0.352091772,0.748841712,0.851990426,0.870298454,0.698276977,0.767604499,0.73782633,0.794322424,0.868061697,0.892973302,1,1,0.925204869,0.843644858,0.77371122,0.7629321,0.81067462,0.930677259,0.945803844,0.881728092,0.928146236,0.869668291,0.87082949,0.794271938,0.7992159,0.736189623,0.729224117
0.677144987,-0.411057883,0.749346976,-0.441495241,0.758552492,-0.389427676,0.756183337,-0.445450545,0.802236758,-0.532377223,0.92879312,-0.656822699,1.013749365,-0.771547192,1.106437088,-0.82617534,1.10628398,-0.867156967,0.990015223,-0.899385806,1,-0.96427714,1,0.559813753,0.914218478,0.451681268,0.858999581,0.417983973,0.791313993,0.396246147,0.79841741,0.389576197,0.848145195,0.409923087,0.963747993,0.45114612,0.932891207,0.514355577,0.846511073,0.495303624,0.841389537,0.465063888,0.805127614,0.389892494,0.752869936,0.362853089,0.713417278,0.395503779,0.702126314,0.37203444,0.635837181,0.346886117,0.614015846,0.33136939,0.774530389,0.813066252,0.824406008,0.685513963,0.759439833,0.762088984,0.84729825,0.890998261,0.879733201,0.999058729,0.987188397,1,0.835547405,0.844781502,0.817592659,0.853576059,0.986155245,0.947110115,0.890794696,0.953794461,0.887298303,0.849046719,0.773073235,0.841089121,0.753907482,0.740813457
0.729442669,-0.373911403,0.795701344,-0.408578768,0.79375678,-0.403612445,0.813357617,-0.474995314,0.808325974,-0.517850061,0.987742899,-0.664601319,1.076319956,-0.738994754,1.078511433,-0.707941038,1.095508826,-0.792007174,0.99925024,-0.826450847,1,-0.938166209,1,0.545534565,0.90661054,0.439617336,0.847211947,0.400111897,0.774726508,0.377842721,0.7865541,0.36037836,0.836874728,0.374552872,0.9422627,0.433742427,0.903600384,0.50132965,0.814700337,0.471936354,0.813811923,0.449122704,0.788868076,0.365323559,0.734888041,0.345931073,0.696135654,0.37335213,0.684856993,0.358226594,0.619924459,0.333224954,0.596495323,0.314844461,0.724423905,0.757604911,0.740785509,0.655903237,0.766922871,0.840561918,0.829991788,0.759606271,0.870995713,1,0.946281674,1,0.82853269,0.7756401,0.726856247,0.792607287,0.854728814,0.862381125,0.800253287,0.863094244,0.799117444,0.793228815,0.733918748,0.754501808,0.700096566,0.697657489
0.666556405,-0.475761683,0.717740235,-0.492237374,0.774623653,-0.52879168,0.70277904,-0.532625851,0.739193028,-0.540406144,0.80230957,-0.5641139,0.822799262,-0.658630729,0.929679127,-0.713357963,0.993146717,-0.84582873,0.960653521,-0.94398749,0.995356215,-1,1,0.589976711,0.909748109,0.456145414,0.849626154,0.417048308,0.786977248,0.398762065,0.780502344,0.385577114,0.816313671,0.39321806,0.927782538,0.422677408,0.936179781,0.497626204,0.85224396,0.477341597,0.844876845,0.446061019,0.803200456,0.374830382,0.754936084,0.353841034,0.726135641,0.38749741,0.716554666,0.360982154,0.651240484,0.344510892,0.630766282,0.329006641,0.629360666,0.553994095,0.550398209,0.552144729,0.691365297,0.787066821,0.83224172,0.934961209,0.908122736,1,0.974313746,0.97210978,0.800658792,0.837248896,0.809549235,0.824844327,0.839624575,1,0.875867349,0.886191009,0.849205348,0.762337217,0.699988271,0.671067164,0.671006357,0.661145897
0.61331085,-0.498045025,0.659852057,-0.478018224,0.684601068,-0.524584391,0.660725318,-0.543901455,0.656195368,-0.525170786,0.758557093,-0.55313462,0.775359331,-0.649546067,0.870308931,-0.711234919,0.920576839,-0.840754185,0.89623548,-0.892764231,0.966945026,-1,1,0.569413385,0.904564843,0.451942193,0.834711411,0.40681168,0.769204137,0.382491518,0.774376703,0.368441478,0.790949324,0.37881044,0.910523749,0.419433896,0.918590623,0.483213968,0.847049941,0.452560434,0.829538219,0.437538307,0.79401267,0.352811518,0.736788263,0.343551517,0.722594697,0.368211085,0.705074211,0.356626732,0.64455497,0.337344884,0.62290471,0.320853808,0.631648261,0.446794991,0.515740186,0.513604064,0.641476869,0.700603131,0.756081022,0.903005907,0.884324862,0.99494314,0.959015837,0.950239773,0.745530351,0.792639428,0.786592858,0.809624611,0.885737793,1,0.876092442,0.896364941,0.736749126,0.637070815,0.672713864,0.597714971,0.551155154,0.541600456
0.580543803,-0.446622818,0.605850345,-0.523668087,0.684429206,-0.533779146,0.6671766,-0.569363716,0.67106059,-0.54808643,0.761116607,-0.602673462,0.774179263,-0.645184362,0.907673343,-0.72570986,0.976009086,-0.821288844,0.982906127,-0.935563022,1,-0.951938151,1,0.640624836,0.922645473,0.499480066,0.847286086,0.449068068,0.801924917,0.41971069,0.810814331,0.39279689,0.827660349,0.395303168,0.932990254,0.447604887,0.927632948,0.512768941,0.865567256,0.495038915,0.831989765,0.463725233,0.827245599,0.379422342,0.76067119,0.362352012,0.739915794,0.395904891,0.71462342,0.384422871,0.649858534,0.359169661,0.639927707,0.338547196,0.594624767,0.616247622,0.559470227,0.657594768,0.809809732,0.879852167,0.866706338,0.953022685,0.959255161,1,1,0.962268343,0.871026413,0.893416556,0.857037401,0.940787653,0.947921329,0.969952781,0.909351376,0.8455415,0.820222402,0.809778581,0.688955131,0.753013278,0.699781714,0.688413846
0.574880423,-0.473370192,0.589935669,-0.463217429,0.636554068,-0.510466481,0.623773605,-0.574623777,0.703241483,-0.60737329,0.732728234,-0.674434474,0.815845511,-0.742118684,0.911777805,-0.87997028,0.948117621,-0.90921361,0.883678657,-1.009273447,0.84152654,-1,1,0.613629659,0.928363163,0.473397159,0.857666267,0.420096952,0.800148312,0.396432433,0.792183701,0.36626057,0.836028588,0.380800787,0.925440854,0.421968873,0.934428858,0.488809695,0.841043071,0.464891067,0.837000007,0.443046357,0.791501439,0.356782876,0.74934679,0.33259966,0.707995191,0.364812912,0.700559435,0.351459242,0.638463934,0.328995866,0.626278831,0.311432501,0.603695253,0.621211901,0.626146669,0.741558493,0.845505566,0.776382016,0.701682996,0.888438274,1,0.939097585,1,0.934225496,0.83183877,0.840744342,0.82180864,0.855376652,0.889824113,0.991172125,0.867286167,0.88204681,0.73741752,0.735481954,0.640933782,0.675359611,0.62343272,0.610404738
0.600636472,-0.464567267,0.61356443,-0.447859191,0.629400114,-0.501093852,0.628630247,-0.561528984,0.70906994,-0.617117289,0.758745695,-0.695794679,0.81329468,-0.777237912,0.887527818,-0.887561747,0.926982116,-0.904601334,0.89636623,-1.002766214,0.87069723,-1,1,0.601184029,0.918479736,0.480434529,0.849915436,0.413262563,0.797787329,0.392617397,0.788908907,0.368896271,0.825012453,0.39107224,0.899647577,0.411545286,0.913656484,0.472344695,0.812537472,0.48135879,0.815892421,0.435651944,0.784938002,0.371394492,0.741025101,0.331799346,0.687311475,0.378492486,0.679162497,0.342304115,0.626379097,0.322830693,0.615591518,0.313035373,0.57944129,0.659323061,0.627310659,0.766696914,0.898358482,0.79795324,0.686698232,0.805657955,0.958685521,0.897631726,0.965549807,0.93413341,0.859032307,0.873635831,0.857778286,0.956161313,1,0.979869455,0.895242273,0.906577858,0.819729437,0.784010629,0.732856979,0.716981107,0.728027122,0.718517319
0.571422823,-0.545824031,0.593702878,-0.534868268,0.69120585,-0.589928992,0.659490858,-0.623755598,0.688941386,-0.639887106,0.785263332,-0.730300964,0.868453647,-0.822279069,0.931926285,-0.841590388,0.992086,-0.873097157,1.017043346,-0.977239354,0.985730545,-1,1,0.556034754,0.900217241,0.435418485,0.817897369,0.37775612,0.75612752,0.356274701,0.741773239,0.331504336,0.803402404,0.368223089,0.843686032,0.414561846,0.863174993,0.437965451,0.767377714,0.423551739,0.763612017,0.404134462,0.723515968,0.321000042,0.678698815,0.306078471,0.635945591,0.327666285,0.615013631,0.325222043,0.56574078,0.299340226,0.56088948,0.278035757,0.614189043,0.703602406,0.718761368,0.680784372,0.705044595,0.764111219,0.779247684,0.793017468,0.810888313,0.819152031,1,0.94338167,0.798925718,0.813733185,0.809316719,0.88473228,0.922903791,0.926463973,0.895009928,0.911007729,0.873645493,0.911294618,0.800483871,0.788262734,0.788945119,0.782357966
0.556035882,-0.555884721,0.617400408,-0.542392236,0.670890427,-0.582363796,0.642427077,-0.615423971,0.699611171,-0.591703109,0.77577984,-0.686681794,0.829664374,-0.776605958,0.922998076,-0.809726739,1.017631033,-0.882931631,1.017696668,-1.024859831,0.980303379,-1,1,0.575574931,0.929638352,0.450789961,0.851811347,0.411070367,0.788613857,0.392338004,0.779212141,0.356890255,0.831457834,0.398017793,0.878898026,0.42882046,0.901308999,0.472898028,0.806080219,0.457229343,0.799332148,0.429635712,0.767523186,0.34560256,0.718514903,0.330592434,0.673092425,0.354590517,0.646936819,0.342698952,0.602754259,0.323235059,0.596139282,0.307232805,0.639263376,0.68585507,0.627025689,0.635760217,0.77826425,0.790425062,0.76998252,0.805041648,0.876670402,0.938182109,1,0.931273605,0.844134833,0.758046489,0.746538188,0.762329569,0.877985377,0.908041028,0.805118746,0.830811384,0.807526556,0.861479953,0.744879608,0.735420645,0.752853949,0.73516499
0.580693988,-0.46626307,0.626968783,-0.49310802,0.656092173,-0.529819973,0.630401682,-0.581674174,0.704603578,-0.614636181,0.717998798,-0.681425323,0.831733134,-0.783456139,0.913366092,-0.903431794,0.973545017,-0.957308753,0.897617978,-1.053558787,0.864716516,-1,1,0.577971881,0.926799958,0.441785184,0.854625927,0.39934434,0.79423688,0.377635236,0.78963221,0.348889696,0.836295697,0.360251523,0.92993578,0.406333566,0.937374365,0.471791974,0.8555458,0.450172167,0.842784336,0.428829132,0.798468884,0.339390279,0.753665191,0.322901931,0.720677734,0.352962749,0.708990634,0.341723829,0.647928783,0.322245453,0.63117177,0.305835493,0.506349471,0.538022859,0.54779286,0.683316893,0.808031651,0.81463161,0.753087628,0.941759062,1,0.963931015,1,0.94677448,0.806641991,0.831177028,0.808127482,0.810711148,0.872104341,0.998194871,0.847911937,0.864980592,0.717082115,0.606544163,0.623445696,0.565615956,0.53424469,0.518014481
0.484879864,-0.461984327,0.506944132,-0.411562578,0.614826984,-0.464339344,0.609848193,-0.478278213,0.610621603,-0.481707387,0.71363474,-0.543833251,0.804890534,-0.59181433,0.838231527,-0.652408056,0.903988461,-0.725923218,0.9670406,-0.83930883,1,-0.915486485,1,0.510474131,0.92356939,0.438169431,0.8035596,0.349673595,0.691100247,0.31074912,0.692184772,0.316727751,0.776559547,0.382323756,0.850923974,0.382752179,0.836672629,0.407868363,0.740055051,0.422575039,0.742859474,0.380146559,0.694287313,0.325641271,0.645361773,0.30082174,0.610360802,0.33073673,0.612345845,0.300603123,0.547302744,0.291339881,0.53092181,0.283507588,0.740793935,0.72836197,0.721229529,0.719303942,0.843031044,0.892833789,0.940556959,0.949034784,0.962465133,0.971145214,0.951830261,1,0.844632161,0.760304412,0.773264974,0.780506201,0.85562673,0.873959733,0.843925346,0.881059746,0.832959179,0.843132932,0.746819864,0.772313121,0.685534214,0.679222436
0.485707187,-0.424422473,0.527835519,-0.389238317,0.618750894,-0.455908224,0.610199044,-0.502769637,0.638922739,-0.506446192,0.749260936,-0.565801319,0.821502796,-0.648493914,0.883460907,-0.719331155,0.96489684,-0.808824486,1.011745067,-0.941595068,1,-0.992349276,1,0.542523017,0.915299257,0.454710499,0.791519487,0.358469851,0.687760363,0.325674851,0.689449345,0.329555558,0.777974167,0.38028019,0.840192168,0.397061166,0.832585946,0.421473066,0.73919225,0.425884173,0.735385125,0.397466347,0.690458006,0.32677806,0.639441449,0.311243858,0.607060358,0.333798592,0.606617368,0.314085178,0.5392887,0.304954728,0.519309989,0.295191886,0.664507237,0.753951462,0.771729739,0.612656459,0.693463917,0.758401052,0.799123325,0.813846675,0.839232441,0.884507724,1,0.90760058,0.801490041,0.712603454,0.726727646,0.736181913,0.801765324,0.840890568,0.771845369,0.773797478,0.804632279,0.766381273,0.697350006,0.660268944,0.664105394,0.651015066
0.627002004,-0.391565848,0.722990656,-0.42536347,0.702496486,-0.370258881,0.690250229,-0.422652131,0.731089293,-0.483265828,0.831549723,-0.587130909,0.92368729,-0.624286631,0.954549658,-0.625368963,1.010913321,-0.717816566,0.969758945,-0.752227276,1,-0.867687664,1,0.569360722,0.903201699,0.45990911,0.836116878,0.395685078,0.779793549,0.356173232,0.808714269,0.346008269,0.843618109,0.369123932,0.914153528,0.414464505,0.886390557,0.489629018,0.78810629,0.498861587,0.800577788,0.432732391,0.780692239,0.373509115,0.733447671,0.339532652,0.680032375,0.387250771,0.654982716,0.355468872,0.602915991,0.325523074,0.58957332,0.314933264,0.753700799,0.684747571,0.674479073,0.685979275,0.803703842,0.826810463,0.82004431,0.831972002,0.906623933,0.944276273,1,0.885897838,0.741868563,0.757232906,0.802707957,0.814800842,0.911253553,0.939782811,0.833163217,0.923591924,0.885187804,0.843964789,0.753402428,0.822751875,0.7303427,0.707645817
0.611415127,-0.466596893,0.681441742,-0.565454401,0.764342979,-0.595073851,0.759781984,-0.596164872,0.770978059,-0.638697296,0.844426107,-0.676432775,0.837039905,-0.752262295,0.949639013,-0.805904817,1.015092726,-0.941314739,0.980785778,-1.071456391,0.951555341,-1,1,0.588773927,0.913369677,0.459149577,0.855911091,0.412757495,0.802122704,0.399860879,0.796291446,0.384414376,0.839513935,0.391733173,0.940626193,0.416660258,0.952186384,0.496676437,0.859640497,0.488184478,0.857417655,0.444256088,0.803567487,0.378396526,0.770394764,0.351627826,0.72837508,0.392363375,0.720227664,0.356868863,0.66253225,0.341997899,0.645192848,0.329722114,0.568158849,0.591169871,0.58201628,0.650541467,0.795244512,0.859584267,0.859578285,0.963145313,0.949619165,1,0.997180132,0.967636109,0.835279225,0.867211496,0.840704613,0.851802892,0.86565754,1,0.835071572,0.86529953,0.779954913,0.700825464,0.648636481,0.713769102,0.664564949,0.652268266
0.706943966,-0.580978877,0.784698152,-0.621407908,0.843719523,-0.663058528,0.782096353,-0.67373474,0.72433757,-0.722653223,0.846650663,-0.760915489,0.877561723,-0.739000663,0.91635312,-0.811368098,0.980778382,-0.840431316,0.888704894,-0.931473595,0.932766933,-1,1,0.571447608,0.895744753,0.451807794,0.814949198,0.389289052,0.758917793,0.349149539,0.787291462,0.335758469,0.806629516,0.347722278,0.89933553,0.40810056,0.865535288,0.461670064,0.807512256,0.481955328,0.791047177,0.423979462,0.771780974,0.363680175,0.725015645,0.314880462,0.689233651,0.382997139,0.651036011,0.357355092,0.618965297,0.321847371,0.611297795,0.309600852,0.852258386,0.6680646,0.701770732,0.669093253,0.772536025,0.788035474,0.754802112,0.82824136,0.864707726,0.901169192,0.986204571,0.93716448,0.859143526,0.843643855,0.837233374,0.81039876,0.981327662,1,0.908085516,0.980469281,0.908633356,0.870790778,0.811931171,0.873510682,0.769976049,0.745788796
0.65189022,-0.478736575,0.723918067,-0.495982726,0.777153169,-0.583144757,0.728154962,-0.59727322,0.690526637,-0.429176473,0.789026148,-0.704813316,0.839200936,-0.750261546,0.903736374,-0.825579839,0.938053074,-0.87290864,0.827417418,-0.951498885,0.852363192,-1,1,0.574063097,0.88990684,0.452092511,0.828463703,0.379912756,0.777611378,0.347601896,0.797241392,0.349603208,0.822124084,0.359845372,0.91056208,0.39924989,0.896115423,0.478302912,0.801081052,0.479871242,0.806800544,0.431644695,0.7658392,0.369720803,0.729189448,0.340650778,0.680233383,0.38598967,0.669445092,0.349301018,0.610866259,0.326082251,0.589314782,0.313832194,0.714426731,0.566661346,0.701723362,0.634115393,0.720313283,0.746661738,0.763666102,0.858465862,0.835132626,0.914260291,1,0.931565541,0.84824516,0.883511955,0.8595036,0.816393014,0.944714203,0.958828851,0.857944563,0.859922649,0.917349856,0.897969369,0.819268234,0.802367093,0.865030285,0.85046412
0.732732013,-0.523083805,0.711261139,-0.543929033,0.746156484,-0.560545831,0.766677187,-0.641174571,0.722953995,-0.655008977,0.830744149,-0.640412514,0.840308728,-0.663893765,0.915798341,-0.661768459,1.008533365,-0.723256862,0.914600847,-0.842299195,1,-0.850751866,1,0.542814919,0.897475374,0.43376839,0.83198864,0.382373314,0.764530579,0.363774341,0.769055733,0.344519286,0.807081337,0.357136554,0.910484209,0.420138243,0.893357958,0.488479402,0.805198905,0.463482495,0.808092093,0.438333368,0.76891069,0.349282828,0.731138028,0.338962554,0.68444787,0.366642665,0.675577576,0.362205547,0.616431417,0.334304586,0.600311576,0.310908514,0.793837933,0.690247646,0.631123508,0.716131053,0.780338964,0.720503497,0.819114347,0.945398797,0.852496591,0.936871023,1,0.922048088,0.828276972,0.834407286,0.771600378,0.781423734,0.892055304,0.925673909,0.862688134,0.873966731,0.869623454,0.856631052,0.799148151,0.762465068,0.734221446,0.713768133
0.684417117,-0.47564465,0.746084214,-0.570980993,0.730014052,-0.553561716,0.744301408,-0.637372245,0.717859958,-0.608857791,0.816693622,-0.615101067,0.83735473,-0.63758435,0.894923702,-0.63539276,0.992205787,-0.704104953,0.907428734,-0.813578893,1,-0.847104647,1,0.534877384,0.903239528,0.428624953,0.838768192,0.383796875,0.776625784,0.368253822,0.779795348,0.352214606,0.811354349,0.365956083,0.913711338,0.414665346,0.906354931,0.486588044,0.818596789,0.467908696,0.818203106,0.435312119,0.776624348,0.354302878,0.743353827,0.341193363,0.696009385,0.372571711,0.688519407,0.353873748,0.62911778,0.335945477,0.610871869,0.318022206,0.819202833,0.626351799,0.66382395,0.726362241,0.701302794,0.71154813,0.778575658,0.892984189,0.806528735,0.92783638,1,0.955924622,0.853086565,0.879081397,0.796235224,0.835145829,0.871706815,0.973924628,0.860464292,0.891382435,0.829070192,0.800633261,0.722084627,0.714675197,0.72155402,0.711013271